Unit_CustID;Unit_Cat;Unit_Vendor;Unit_Model;Unit_Serial;Unit_type;Unit_installdate;Unit_Warend;Unit_Chargemode;Unit_Repldate;Unit_Notes;Unit_History;Unit_ID
1120;HS;HME;BELTPACK;23K03716;BP;1900-01-01;1900-01-01;5;1900-01-01;;0;231010;
1120;HS;HME;HEADSET;18K01207;HS;1900-01-01;1900-01-01;5;1900-01-01;;0;231011;
1120;HS;HME;BELTPACK;23K03713;BP;1900-01-01;1900-01-01;5;1900-01-01;;0;231086;
1120;HS;HME;BELTPACK;46G00977;BP;1900-01-01;1900-01-01;5;1900-01-01;;0;231087;
1120;HS;HME;BELTPACK;46G00975;BP;1900-01-01;1900-01-01;5;1900-01-01;;0;231088;
1120;HS;HME;BASSTATION;31K00779;BS;1900-01-01;1900-01-01;5;1900-01-01;;0;231621;
1120;HS;HME;COM-6000;03G00409;BP;1900-01-01;1900-01-01;5;1900-01-01;;0;233097;
1120;HS;HME;HEADSET EOS 6300 AIO;05W05365;HS;2017-02-28;2019-02-27;5;1900-01-01;;0;247241;
1120;HS;HME;HEADSET EOS 6300 AIO;05W05361;HS;2017-02-28;2019-02-27;5;1900-01-01;;0;247242;
1120;HS;HME;CHARGER AC50;17V12207;HS;2017-02-28;2019-02-27;2;1900-01-01;;0;247243;
1120;HS;HME;HEADSET EOS 6300 AIO;30V11448;HS;2016-11-15;2018-11-14;5;1900-01-01;;0;247244;
1120;HS;HME;HEADSET EOS 6300 AIO;30V12710;HS;2016-11-15;2018-11-14;5;1900-01-01;;0;247245;
1120;HS;HME;CHARGER AC50;05V10650;HS;2016-11-15;2017-11-14;2;1900-01-01;;0;247246;
1120;HS;HME;HEADSET EOS 6300 AIO;37Y01643;HS;2020-02-14;2022-02-13;5;1900-01-01;;0;250946;
1120;HS;HME;HEADSET EOS 6300 AIO;37Y01639;HS;2020-02-14;2022-02-13;5;1900-01-01;;0;250947;
1120;HS;HME;CHARGER AC50;42Y01212;HS;2020-02-14;2021-02-13;3;1900-01-01;;0;250948;
1129;HS;HME;COM-6000R;41K03821;BP;1900-01-01;1900-01-01;5;1900-01-01;;0;231418;
1129;HS;HME;COM-6000R;41K03823;BP;1900-01-01;1900-01-01;5;1900-01-01;;0;231419;
1129;HS;HME;COM-6000R;50G03540;BP;1900-01-01;1900-01-01;5;2011-07-13;;0;234594;
1129;HS;HME;COM-6000R;50G03532;BP;1900-01-01;1900-01-01;5;2011-07-13;;0;234595;
1142;HS;;BASSTATION;6105076;BS;2003-12-03;1900-01-01;1;1900-01-01;;0;224502;
1142;HS;QL;beltpack;6106397;QL;1900-01-01;1900-01-01;0;1900-01-01;;0;224217;
1142;HS;HME;COM-5000;0605154;BP;1900-01-01;1900-01-01;0;1900-01-01;;0;224225;
1142;HS;HME;COM-5000;0940613;BP;1900-01-01;1900-01-01;0;1900-01-01;;0;224226;
1142;HS;HME;COM-5000;0527541;BP;1900-01-01;1900-01-01;0;1900-01-01;;0;224343;
1142;HS;QL;Beltpack;6108442;;1900-01-01;1900-01-01;0;1900-01-01;;0;224237;
1142;HS;QL;beltpack;6108448;;1900-01-01;1900-01-01;0;1900-01-01;;0;224260;
1142;HS;HME;beltpack;0561383;;1900-01-01;1900-01-01;0;1900-01-01;;0;224402;
1197;HS;HME;HEADSET EOS 6200 AIO;17V11799;HS;2016-07-12;2018-07-11;5;1900-01-01;;0;247595;
1197;HS;HME;HEADSET EOS 6200 AIO;16V02538;HS;2016-07-12;2018-07-11;5;1900-01-01;;0;247596;
1197;HS;HME;BASSTATION EOS;;BS;2016-07-12;2018-07-11;5;1900-01-01;;0;247597;
1197;HS;HME;CHARGER AC50;;HS;2016-07-12;2017-07-11;2;1900-01-01;;0;247598;
1197;HS;HME;CHARGER AC50;20U02887;HS;2015-08-11;2016-08-10;2;1900-01-01;;0;247599;
1197;HS;HME;BASSTATION EOS;21U01714;BS;2015-08-11;2017-08-10;5;1900-01-01;;0;247600;
1197;HS;HME;HEADSET EOS 6200 AIO;21U00103;HS;2015-08-11;2017-08-10;5;1900-01-01;;0;247601;
1197;HS;HME;HEADSET EOS 6200 AIO;21U00104;HS;2015-08-11;2017-08-10;5;1900-01-01;;0;247602;
1197;HS;HME;BASSTATION EOS;50T06873;BS;2015-03-20;2017-03-19;5;1900-01-01;;0;247603;
1197;HS;HME;CHARGER AC50;50T07357;HS;2015-03-20;2016-03-19;2;1900-01-01;;0;247604;
1197;HS;HME;HEADSET EOS 6200 AIO;50T05191;HS;2015-03-20;2017-03-19;5;1900-01-01;;0;247605;
1197;HS;HME;HEADSET EOS 6200 AIO;49T01331;HS;2015-03-20;2017-03-19;5;1900-01-01;;0;247606;
1218;;;;;;1900-01-01;1900-01-01;0;1900-01-01;;0;239766;
1220;HS;HME;COM-6000R;49H01418;BP;1900-01-01;1900-01-01;5;1900-01-01;;0;226502;
1220;HS;HME;COM-6000R;49H01416;BP;1900-01-01;1900-01-01;5;1900-01-01;;0;226654;
1220;HS;HME;COM-6000R;49H01432;BP;1900-01-01;1900-01-01;5;1900-01-01;;0;231002;
1220;HS;HME;HEADSET;49H04259;HS;1900-01-01;1900-01-01;5;1900-01-01;;0;231003;
1220;HS;HME;HEADSET;49H04283;HS;1900-01-01;1900-01-01;5;1900-01-01;;0;231004;
1220;HS;HME;COM-6000R;37K01545;BP;1900-01-01;1900-01-01;5;1900-01-01;;0;231145;
1237;HS;HME;BASSTATION EOS;45V09331;BS;2017-01-19;2019-01-18;5;1900-01-01;;0;247111;
1237;HS;HME;CHARGER AC50;25V09624;HS;2017-01-19;2018-01-18;2;1900-01-01;;0;247112;
1237;HS;HME;HEADSET EOS 6200 AIO;26V12445;HS;2017-01-19;2019-01-18;5;1900-01-01;;0;247113;
1237;HS;HME;HEADSET EOS 6200 AIO;26V12442;HS;2017-01-19;2019-01-18;5;1900-01-01;;0;247114;
1250;HS;HME;HEADSET EOS 6200 AIO;26V12445;HS;2017-01-19;2019-01-18;5;1900-01-01;Köpt genom Skyltstället;0;248246;
1250;HS;HME;HEADSET EOS 6200 AIO;26V12442;HS;2017-01-19;2019-01-18;5;1900-01-01;;0;248247;
1250;HS;HME;BASSTATION EOS;45V09331;BS;2017-01-19;2019-01-18;5;1900-01-01;;0;248248;
1250;HS;HME;CHARGER AC50;25V09624;HS;2017-01-19;2018-01-18;2;1900-01-01;;0;248249;
1301;HS;HME;BASSTATION EOS;41U02480;BS;2015-11-23;2017-11-22;5;1900-01-01;;0;245326;
1301;HS;HME;CHARGER AC50;41U02103;HS;2015-11-23;2016-11-22;2;1900-01-01;;0;245327;
1301;HS;HME;HEADSET EOS 6200 AIO;40U01113;HS;2015-11-23;2017-11-22;5;1900-01-01;;0;245328;
1301;HS;HME;HEADSET EOS 6200 AIO;40U02411;HS;2015-11-23;2017-11-22;5;1900-01-01;;0;245329;
1301;HS;HME;HEADSET EOS 6200 AIO;40U02407;HS;2015-11-23;2017-11-22;5;1900-01-01;;0;245330;
1301;HS;HME;HEADSET EOS 6200 AIO;14Y12838;HS;2019-06-04;2021-06-03;5;1900-01-01;;0;249716;
1301;HS;HME;CHARGER AC50;16Y06279;HS;2019-06-04;2020-06-03;2;1900-01-01;;0;249717;
1400;HS;HME;BASSTATION EOS;31V11980;BS;2016-10-07;2018-10-06;5;1900-01-01;;0;246568;
1400;HS;HME;CHARGER AC50;25V09689;HS;2016-10-07;2017-10-06;2;1900-01-01;;0;246569;
1400;HS;HME;HEADSET EOS 6200 AIO;17V11789;HS;2016-10-07;2018-10-06;5;1900-01-01;;0;246570;
1400;HS;HME;HEADSET EOS 6200 AIO;17V12311;HS;2016-10-07;2018-10-06;5;1900-01-01;;0;246571;
1401;HS;HME;BASSTATION EOS;36X00469;BS;2018-11-07;2020-11-06;5;1900-01-01;;0;249080;
1401;HS;HME;CHARGER AC50;36X00584;HS;2018-11-07;2019-11-06;2;1900-01-01;;0;249081;
1401;HS;HME;HEADSET EOS 6200 AIO;37X07200;HS;2018-11-07;2020-11-06;5;1900-01-01;;0;249082;
1401;HS;HME;HEADSET EOS 6200 AIO;37X06963;HS;2018-11-07;2020-11-06;5;1900-01-01;;0;249083;
1401;HS;HME;HEADSET EOS 6200 AIO;37X06945;HS;2018-11-07;2020-11-06;5;1900-01-01;;0;249084;
1550;HS;HME;BASSTATION EOS;14Y08858;BS;2020-03-24;2022-03-23;5;1900-01-01;;0;251033;
1550;HS;HME;MICROPHONE DM5;51Y00338;HS;2020-03-24;2021-03-23;3;1900-01-01;;0;251034;
1550;HS;HME;HEADSET EOS 6200 AIO;10Z02770;HS;2020-03-24;2022-03-23;5;1900-01-01;;0;251035;
1550;HS;HME;CHARGER AC50;42Y02109;HS;2020-03-24;2021-03-23;3;1900-01-01;;0;251036;
2000;HS;HME;BASSTATION EOS;04X07335;BS;2018-06-01;2020-05-31;5;1900-01-01;;0;248743;
2000;HS;HME;CHARGER AC50;20W06596;HS;2018-06-01;2019-05-31;2;1900-01-01;;0;248744;
2000;HS;HME;HEADSET EOS 6200 AIO;26V11433;HS;2018-06-01;2020-05-31;5;1900-01-01;;0;248745;
